Masked_User_Id,1_11Score,1_12Score,2_14Score,2_15Score,3_17Score,3_18Score,1_11Grade,1_12Grade,2_14Grade,2_15Grade,3_17Grade,3_18Grade,Term,Repetitions,Dropped
stu3,3,0,0,1,1,0,3.45,4,3.85,4,3.8,4,201408,0,NO
stu5,3,4,7,4,1,4,3.05,3.3,2.45,3.5,3.3,2.95,201408,0,NO
stu6,7,-1,4,0,6,3,1.8,1.35,1.4,2.25,2.4,3.2,201408,0,NO
dstu1,1,-1,-3,-1,-8,-4,2.25,1.85,1.2,1.35,1.1,1.15,201408,2,NO
stu7,,,,,,,,,,,,,201408,0,YES
dstu2,,,10,-1,,,,,2.5,2.5,,,201408,2,NO
stu10,-2,0,0,0,2,0,2.65,2.7,1.9,2.6,3.3,3.3,201408,0,NO
stu15,-3,7,6,11,7,9,1.6,3.5,2.95,3.55,2.9,3.65,201408,0,NO
stu17,,,,,,,,,,,,,201408,0,NO
stu18,9,-1,3,4,7,2,3.05,2.2,1.75,2.55,2.1,3.35,201408,0,NO
stu20,6,5,8,6,7,3,1.65,2.5,2.4,3.25,3.15,3.6,201408,0,NO
stu22,4,1,8,9,5,7,1.45,1.65,2.35,2.95,3.6,3.8,201408,0,NO
stu23,6,4,-1,4,7,3,2.65,2.8,2.25,3.1,2.8,2.95,201408,0,NO
stu24,7,3,10,2,6,3,3.7,3.85,3.8,3.95,3,3.85,201408,0,NO
dstu3,,,,,,,,,,,,,201408,2,YES
stu25,20,11,16,6,14,17,3.4,3.8,3.45,3.8,3.15,4,201408,0,NO
stu27,12,-1,5,9,5,7,2.95,3.1,2.9,3.6,3,3.5,201408,0,NO
stu28,3,0,0,2,6,3,2.75,3.45,2,3.1,3.35,3.8,201408,0,NO
stu29,-1,0,0,0,0,0,3.4,2.95,2.5,3.15,2.7,3,201408,0,NO
stu32,9,0,4,6,5,5,2.95,3,2.85,3.8,2.3,2.9,201408,0,NO
stu34,5,1,-1,0,-2,5,2.7,3.3,2.3,2.8,2.5,3.65,201408,0,NO
stu35,1,9,5,3,,,0,4,0,3.6,,,201408,0,YES
stu36,9,0,5,0,1,4,2.95,3.15,2.65,2.95,2.9,3.15,201408,0,NO
stu37,-2,2,4,2,2,2,1.1,3.85,2.1,3.7,2.8,3.95,201408,0,NO
stu38,6,6,6,5,9,2,1.25,2.5,1.45,2.65,2.75,2.9,201408,0,NO
stu39,5,4,3,3,4,-3,2.4,3.2,2.1,2.25,3.2,2.85,201408,0,NO
stu45,2,3,2,10,7,2,2.1,2.2,1.7,2.5,2.35,2.9,201408,0,NO
stu47,3,4,3,2,2,3,2.7,3.65,3.65,3.95,3.8,4,201408,0,NO
stu48,-3,8,2,9,13,2,2.1,2.65,2,2.95,2.35,3.05,201408,0,NO
stu49,2,2,8,2,3,7,2.25,2.7,2.45,2.85,2.7,3.2,201408,0,NO
stu54,3,0,6,10,14,7,2.9,3.45,2.7,2.5,2.75,3.85,201408,0,NO
stu55,8,11,9,4,7,5,2.75,3.75,3.25,3.85,3.85,4,201408,0,NO
stu57,9,0,0,-1,15,0,3.65,2.6,1.45,2.4,3.1,2,201408,0,NO
stu59,0,,4,,,,1.7,,1.45,,,,201408,0,YES
stu61,-4,2,2,0,-1,6,2.9,3.4,2.35,2.65,2.1,2.25,201408,0,NO
stu63,3,3,7,-1,7,6,2.6,3,2.85,3,2.75,2.9,201408,0,NO
stu65,2,4,3,4,-1,2,3.35,3.55,3.05,3.9,3.5,3.95,201408,0,YES
dstu4,,6,2,5,7,3,,0.55,1.5,1.4,2.45,2.25,201408,3,NO
stu71,10,4,4,9,6,2,3.15,3.55,3.2,3.65,3.15,3.15,201408,0,NO
stu77,,,,,,,,,,,,,201408,0,YES
stu78,5,2,1,4,8,11,1.8,2.3,1.6,3.2,2.75,3.5,201408,0,NO
stu79,3,-1,3,0,0,0,3.65,3.75,2.45,3.5,2.45,3.8,201408,0,NO
stu88,1,5,4,1,,,0,3.8,0,3.4,,,201408,0,YES
stu90,5,6,9,1,0,5,2.65,2.4,2.95,2.75,2.65,3.45,201408,0,NO
stu92,3,3,0,4,3,3,3.5,3.75,3.65,3.6,3.55,3.8,201408,0,NO
stu93,7,-3,2,0,3,0,1.55,1.5,1.95,1.95,1.7,1.05,201408,0,YES
dstu5,,,,,,,,,,,,,201408,2,YES
stu99,5,3,1,0,5,0,3.1,3.8,2.65,3.7,3.4,4,201408,0,NO
dstu6,0,0,,,,,2.15,2.6,,,,,201408,2,YES
stu104,0,0,0,3,,0,4,4,1.8,2,,3.75,201408,0,YES
stu107,9,2,5,5,8,8,2.5,3.15,3,3.2,3.35,3.5,201408,0,NO
stu108,-2,0,3,2,1,3,2.75,2.75,2.1,2.65,2.6,2.6,201408,0,NO
stu112,3,7,11,18,7,3,3.7,2,2.85,3,3.5,4,201408,0,NO
stu113,5,7,11,1,10,3,1.4,2.65,3.35,4,2.55,3.4,201408,0,NO
stu116,2,1,8,1,6,3,2.7,3.25,2.7,2.7,2.1,2.15,201408,0,NO
stu120,2,-1,5,8,6,6,2.9,1.65,2.45,3.45,2.3,3.35,201408,0,YES
stu121,10,7,9,5,6,4,2.7,2.9,3.45,3.65,3.4,3.85,201408,0,NO
stu124,15,4,0,12,1,8,2.4,2.35,2.5,2.75,2.55,2.65,201408,0,NO
dstu7,0,6,7,2,,,0,2.6,2.6,3.4,,,201408,2,YES
stu134,3,1,6,-1,2,4,3.3,3.55,3,3.3,3.65,3.7,201408,0,NO
stu135,5,8,7,10,7,5,2.65,3.3,2.45,3.8,3.35,3.65,201408,0,NO
stu136,-3,,-2,14,11,8,2.2,,2.05,4,3.7,3.6,201408,0,NO
stu139,,,0,3,0,2,,,3.6,4,3.6,4,201408,0,YES
stu140,3,-3,7,5,1,1,2.5,2.8,2.25,3.2,2.5,2.5,201408,0,NO
stu141,6,2,8,9,8,2,2,2.2,2.55,2.9,2.35,2.4,201408,0,NO
stu144,,,,,,,,,,,,,201408,0,YES
stu145,3,5,6,5,-1,1,2.45,3.85,2.7,3.85,2.95,3.95,201408,0,NO
stu146,6,1,5,2,1,1,1.8,3.55,1.7,2.35,2.75,3.15,201408,0,NO
stu148,7,5,8,3,4,6,2.4,3.65,2.75,3.4,2.4,2.9,201408,0,YES
stu156,-1,,,,,,1.4,,,,,,201408,0,YES
stu159,11,13,19,3,10,13,2.75,3.75,3.5,3.8,3.5,3.75,201408,0,NO
stu161,-2,0,0,0,1,0,3.45,3.35,2.25,3.5,2.4,3.15,201408,0,NO
stu162,9,7,1,2,11,-1,2.9,3.15,1.85,1.85,2.45,2.8,201408,0,NO
dstu10,2,2,2,3,3,-1,2.55,2.7,1.95,2.1,2,1.9,201408,2,NO
stu167,-3,2,1,3,-1,-2,3.05,2.1,1.45,1.45,1.55,2.05,201408,0,NO
stu168,8,,,,,,2.1,,,,,,201408,0,YES
stu169,-2,-2,-2,8,2,8,1.95,1.75,0.85,1.45,1.6,1.6,201408,0,NO
stu171,2,2,5,3,2,6,2,2.4,2.95,3.25,1.45,2.5,201408,0,NO
stu173,5,1,1,5,11,3,2.15,2.35,1.8,2.95,3.45,3.5,201408,0,NO
stu177,-1,0,0,0,0,0,2.85,3.4,2.3,3.05,2.7,3.25,201408,0,NO
stu178,4,3,4,0,-11,3,3.45,2.4,2.3,2.6,2.05,3,201408,0,NO
stu180,8,2,5,5,2,9,1.65,2.5,2.55,3.3,1.2,1.45,201408,0,NO
stu182,6,4,8,6,5,4,2.65,2.85,2.2,3.5,3.5,3.5,201408,0,NO
stu186,11,4,6,4,9,7,3.45,3.4,3.6,3.65,3.55,3.85,201408,0,NO
dstu12,10,-2,8,1,,7,2.45,2.3,2.65,2.65,,2.55,201408,2,NO
stu189,-2,0,0,0,0,0,2.5,2.85,1.75,3,2.45,2.95,201408,0,NO
stu192,-1,6,4,1,4,1,2.45,3.45,2.05,3.25,3.55,3.75,201408,0,NO
stu193,5,,-2,2,3,0,3.25,,2.55,3.55,2.8,3.35,201408,0,NO
stu197,1,1,2,2,4,,1.15,0.9,2.3,1.9,1.3,,201408,0,NO
stu198,5,1,5,10,11,5,3.7,3.8,2.5,1.95,3.2,3.5,201408,0,NO
stu199,11,4,1,4,0,0,3.05,2.8,1.55,2.85,2.1,2.95,201408,0,NO
stu200,1,2,0,1,1,2,2.5,2.9,2.65,2.95,2.55,2.85,201408,0,NO
stu201,6,11,1,2,1,11,3,3.7,2.5,3.15,2.9,3.95,201408,0,NO
stu209,8,2,0,6,8,2,2.25,3.75,2,4,2.7,3.1,201408,0,NO
stu213,0,10,16,10,7,25,1.4,3.75,3.35,3.8,3.4,4,201408,0,NO
stu216,3,,,,,,2.75,,,,,,201408,0,YES
stu217,8,7,4,6,10,5,2.85,3.5,2.15,3.25,2.7,3.35,201408,0,NO
stu220,1,0,,0,0,0,2.75,3.5,,3.25,1.95,2.95,201408,0,NO
stu221,8,-1,1,3,5,2,2.3,2.3,1.45,1.55,1.5,1.5,201408,0,NO
stu224,,,,,,,,,,,,,201408,0,YES
stu226,-1,13,8,4,3,-1,1.5,2.45,1.6,1.25,0.65,1.1,201408,0,NO
stu228,10,1,8,3,6,4,2.45,1.6,1.8,2.55,2.25,2.6,201408,0,NO
stu229,2,7,11,6,8,0,2.15,2.85,1.7,3.4,2.3,2.75,201408,0,NO
dstu14,,,3,,0,3,,,2.25,,2.8,3.5,201408,2,YES
stu232,5,11,13,2,5,8,3,3.55,2.75,3.35,3.1,4,201408,0,NO
stu234,16,6,13,8,14,7,2.85,2.4,2.55,3.25,3.25,3.8,201408,0,NO
stu238,1,0,8,3,12,3,1.65,1.95,2.45,3.1,3,3.8,201408,0,NO
stu242,,,,,,,,,,,,,201408,0,YES
stu245,1,1,5,-1,9,6,2.25,2.8,2.6,2.95,2.9,3.5,201408,0,NO
stu246,-4,3,20,4,4,12,2.55,3.6,2.9,3.5,2,3.35,201408,0,NO
stu247,5,1,1,2,6,4,2.45,2.7,2.85,3.4,3.6,3.4,201408,0,NO
dstu15,3,-2,2,0,4,1,1.3,1.75,0.9,0.7,1.1,0,201408,2,NO
stu248,10,4,7,3,16,4,2.9,3.75,3.1,4,3.65,4,201408,0,NO
stu249,-2,3,8,3,0,3,2.3,2.45,2.3,2.8,3.65,3.8,201408,0,NO
dstu17,,,,,,,,,,,,,201408,2,NO
stu257,14,12,13,12,23,16,2.95,3.75,3.3,3.8,3.2,4,201408,0,NO
stu259,-1,0,0,0,0,0,3.35,3.75,2.55,2.85,2.75,3.4,201408,0,NO
stu261,,2,,,,,,1.95,,,,,201408,0,YES
stu268,13,3,12,4,-2,9,3.15,3.65,3.15,3.8,3.05,3.6,201408,0,NO
stu270,-2,1,3,2,1,3,2.6,1.35,2.35,2.55,2.5,2.9,201408,0,NO
stu271,2,8,13,3,1,3,3.2,3.5,2.9,3.85,2.65,3.85,201408,0,NO
stu276,15,1,4,1,3,2,3,3.75,2.3,3.65,3.4,3.5,201408,0,NO
stu277,2,2,5,3,23,4,2.35,2.6,2.4,2.5,0.9,3.35,201408,0,NO
stu278,11,-3,15,1,4,6,2.6,2.5,3.35,2.7,2.6,2.95,201408,0,NO
stu280,,,,,,,,,,,,,201408,0,NO
stu284,6,6,6,3,6,3,2.95,2.75,2.85,2.65,1.8,2.65,201408,0,NO
stu286,-1,0,0,0,1,0,3.1,2.8,2.3,3.25,3.75,4,201408,0,NO
stu287,5,7,11,2,-7,7,2.35,3.3,2.8,3.25,2.65,3.35,201408,0,NO
stu290,4,2,7,10,8,4,3.45,2.25,3.35,3.35,2.8,2.9,201408,0,NO
stu291,-2,5,3,2,,6,2.85,3.15,2.3,3,,2.9,201408,0,NO
stu294,2,0,-2,5,8,0,1.05,1.05,2.7,2.85,3.2,2.4,201408,0,NO
stu296,,11,10,,,,,2.05,3,,,,201408,0,YES
dstu19,,0,,0,,0,,1.5,,1.95,,2.75,201408,2,YES
stu300,0,-2,,1,4,2,2,2.5,,1.95,0.25,2.5,201408,0,NO
stu303,10,2,6,9,11,1,3.2,3.3,2.5,2.9,2.9,3.55,201408,0,NO
stu304,6,1,4,0,0,0,3.35,3.95,3,3.85,3.55,3.95,201408,0,NO
stu306,3,,10,-1,1,0,3.4,,3.5,3.95,3.6,3.95,201408,0,NO
stu314,6,10,-1,0,5,2,2.3,3.35,2.4,1.9,2.55,2.45,201408,0,NO
